timesteps,mean_rewards,std_rewards
30000,-111.19381309130695,1.6249751001674706
60000,-36.07544874070588,51.88289005641259
90000,-0.5294433252783637,1.53438770406695
120000,1.4581623540631028,0.263191204736426
150000,1.7396226574979443,0.4914976246120636
180000,1.9906397167450354,0.03200160687185901
210000,4.660582670403537,0.3405877540774146
240000,1.0882745145998178,0.5777266725481437
270000,2.2503795837522103,1.3420118558371172
300000,3.0483669387892527,0.8976918169125861
330000,3.5954774876625386,1.3952701229069742
360000,3.2012431438934925,0.18022516080978945
390000,3.773510374700206,0.35746444869953997
420000,3.5453166048588605,0.40898293136891234
450000,1.3792154473539182,1.5356805696404192
480000,2.254038228317858,0.5662957868528101
510000,0.9553176433450146,0.46437090177296936
540000,2.967153707366073,1.785404716166795
570000,5.66736571121138,0.473179178873896
600000,2.4403535049759917,0.8322946761216778
630000,-53.588440437610174,46.93426411346279
660000,-100.15420033451228,0.59164587719224
690000,3.9389204807319778,1.9912764557352245
720000,16.643586722302835,4.877824428085274
750000,10.695087553947996,2.5323982426824956
780000,-15.313873652038803,54.124086867685776
810000,5.706817180369846,2.1420526036550873
840000,15.392538149927798,2.6337803233731405
870000,22.08970811033958,4.139072893414359
900000,10.808627075740446,1.0600434397015597
930000,19.852059304600832,8.622484372111854
960000,1.2574368065299197,50.957603921554174
990000,24.010555138426092,9.367169044840333
1020000,-2.339621682596706,44.8478993797177
1050000,-18.964309697742102,50.85750031357181
1080000,-50.33931901617907,3.489131821659757
1110000,7.842177949946927,40.348868013076405
1140000,-0.3237373969057444,57.94002058020469
1170000,6.945809825764445,54.07467162746913
1200000,2.17681324681289,47.540819558030805
1230000,12.206595288586687,46.945261106386496
1260000,-0.5712361588368366,56.47655628314512
1290000,-2.677089105614141,53.775011041062584
1320000,48.15818288934315,8.874776044842873
1350000,-51.17205011319602,3.8586653322455917
1380000,30.631186042292757,29.28186601459969
1410000,17.744292731545283,45.14058336889864
1440000,-3.8396139501921427,62.043423202418985
1470000,-16.899142691271116,48.92188859549268
1500000,-1.853166174362741,64.88405827408907
1530000,-31.05554567188883,37.683405183458646
1560000,-15.622144810022291,42.67277964386732
1590000,23.73055502000352,42.656056797805995
1620000,-20.429533308402462,49.098651669466754
1650000,25.91329265844779,30.00761380984845
1680000,23.152288570842938,44.82668309671221
1710000,15.875624105420139,42.851332619524285
1740000,-10.729300204158061,47.406203955503265
1770000,-64.14411000009277,23.429696685302467
1800000,-24.290914601514306,50.35696102217456
1830000,41.17525572991963,29.661026100777306
1860000,47.600952964719546,31.64740787579871
1890000,23.227588175272103,53.46014098020091
1920000,-5.096962681748937,47.010389475306354
1950000,-3.9170832616087865,47.607657319605565
1980000,-3.3192181701713706,59.462768676783405
