timesteps,mean_rewards,std_rewards
30000,-106.64763427210855,1.563756590595217
60000,-75.37299898591118,48.28248472338121
90000,-3.2071800772275822,0.9175619711239984
120000,-1.662287554230352,0.2343012114009361
150000,-6.0352252502761985,3.7543987722459176
180000,-97.13426138309005,2.0249788162565645
210000,-62.02861892451957,49.28690801144541
240000,-99.72948878326716,5.761044920221526
270000,3.8361731414010136,2.448084454850266
300000,-30.31497889435018,44.463762451220454
330000,-98.64653090211323,1.2576582513207726
360000,-66.3578021307796,54.03919386990858
390000,-29.36050910520553,46.51542133670879
420000,-29.015258221311505,48.839687215647885
450000,-0.6947271079462538,0.4244366009147149
480000,1.7296798657886086,2.1095463516411455
510000,0.37680999919961666,0.527733445132035
540000,-45.54576305982128,53.155852716500014
570000,3.8836317788540327,4.684428524503379
600000,-26.912178823073923,48.52915472526763
630000,-0.6549981736007104,0.9073294822096634
660000,-1.2298634164522808,1.8461142103957036
690000,-58.06649824024271,52.98674701242186
720000,-2.5131327455949277,0.7734712537750527
750000,2.821677459709835,0.9475251341872901
780000,-6.73098134312932,32.761963734599654
810000,-34.6190182549906,45.334434947372
840000,9.834124393757884,36.77909284137345
870000,0.6618431944776685,3.585111888391972
900000,-0.234759235048113,1.5851091512218975
930000,-94.5504695944459,9.13354608618416
960000,-26.29903155595761,40.408443330231755
990000,-108.10233631589799,4.247762093895938
1020000,-1.350186323104086,0.3857512367901504
1050000,-35.87338060841237,49.15356467913378
1080000,-9.056228869604915,32.777917021722054
1110000,-80.81759146674867,25.280082057528258
1140000,2.4138933333494728,1.8946007538126535
1170000,-61.5321223343657,50.48980413582193
1200000,-30.26015162595555,48.55408886668512
1230000,-74.3649504582514,49.73308365115377
1260000,-99.84185590339239,2.496377345030534
1290000,-86.65859392659259,29.917076281338733
1320000,-106.91391255087073,5.186905746848652
1350000,-24.651591480507705,33.55616720903602
1380000,-100.02239965500121,32.415484956878856
1410000,0.030027658356878727,0.625627086149815
1440000,2.0538001840780895,2.2637808242535904
1470000,-78.16835446446211,50.224446878621684
1500000,-39.66409742043193,45.59686410522046
1530000,-22.436732587867667,52.90780287269706
1560000,3.661873241228232,0.7555718821274584
1590000,-59.929547055935835,53.19210395706952
1620000,-25.659742250947783,48.552024253001335
1650000,1.9733768545782369,8.68419467051852
1680000,-42.27049978544683,45.76562618521614
1710000,3.791028996648356,1.2889028412191097
1740000,-0.10604777637482163,0.838047697283614
1770000,1.1988905932634004,0.45857673365758495
1800000,1.444263818604089,0.8138768605861658
1830000,-30.42720791210017,47.38483176246649
1860000,1.0165186655835272,0.5157005159432967
1890000,-105.4871868234346,1.637401025567345
1920000,-101.1973342080677,3.292344698983155
1950000,-1.1140669303282493,0.11685346143267258
1980000,15.08244789035507,4.133916690752987
