timesteps,mean_rewards,std_rewards
30000,-103.13428986165381,1.5704487838004753
60000,-95.76071881056069,30.984481932230334
90000,-0.5769911390637532,0.8572120443260571
120000,-75.5117741725069,50.8775925914283
150000,-74.39109170322469,49.0810557138369
180000,0.4448344279087199,0.5140626721500454
210000,-61.84239043573151,53.35433737075531
240000,3.85780916001667,1.4235308412075625
270000,3.272607795980506,0.9148630085434379
300000,1.272199982761046,1.5177909683050377
330000,1.481963793319493,0.8702588971851053
360000,3.645620504968047,2.5832157981262363
390000,-55.90601768274089,48.62791842902147
420000,-1.1817940860778695,3.0149064660457023
450000,-33.46747605316828,47.76212995433343
480000,0.5176071628859729,2.1358282219397835
510000,1.2493597946365371,1.525294903607261
540000,1.136578439920206,4.948421759321061
570000,16.527024427672963,1.3922539390401585
600000,17.605441146905267,8.076471059207174
630000,-35.374671150228004,42.66902262504531
660000,-35.465224838108405,39.14603520001398
690000,-28.73578525276171,46.85876835297439
720000,39.330239889040605,4.356068518358009
750000,5.916191540617729,45.923767872311835
780000,7.682829379720897,45.09630433141851
810000,33.50208530556483,2.9248128544378615
840000,32.057720746387716,7.030288821994154
870000,-62.32595719613746,63.351240749275924
900000,30.35832892331673,6.798312424910881
930000,41.2086988349718,6.6250022994407765
960000,33.123188982999274,6.029099052187052
990000,40.160601246489385,3.576800209280212
1020000,36.261743312540695,4.971275336874353
1050000,39.03533050300466,1.8114159120604119
1080000,35.90699030499381,5.826482366217251
1110000,32.43802334238389,5.1497434375803
1140000,28.07003953957974,4.14636527361754
1170000,21.48807009856737,4.671541222635078
1200000,24.262339382115897,6.047010679184207
1230000,27.502452810625254,3.6072267005354073
1260000,29.159538891885312,5.843956797296649
1290000,21.02083463755771,9.094029037075028
1320000,-15.491916539981322,58.7204653638336
1350000,-52.74093671218061,64.354527207421
1380000,21.256927550298133,29.105165141259953
1410000,-104.27619669844862,3.328007785754563
1440000,-94.59763199684058,11.633933609478413
1470000,-101.61098199000116,1.2419304440071597
1500000,-98.3998014312383,4.797936041019514
1530000,33.99938742483901,10.357571161260699
1560000,-89.77144233203144,8.304035765027338
1590000,-49.902179644230635,46.993425806089725
1620000,5.252716470044106,45.104317503797674
1650000,37.42348111745596,2.6400353502072877
1680000,38.32508739105833,4.052386317473254
1710000,-19.69205586190437,48.74745722118609
1740000,33.61742151349172,4.370246758912749
1770000,33.26770578202559,7.17713113960502
1800000,-29.838995692165916,54.5487984261933
1830000,-28.289691778524137,46.847501830498814
1860000,5.224034338706406,43.289356564825994
1890000,-99.72350969096878,0.9974029389687712
1920000,-98.5999377254033,1.7886825460080253
1950000,-99.82508810707222,0.971068547101819
1980000,-97.42850405572099,5.009630772988804
